Kappale 1: Työn hakeminen/Work search,,,Kappale 2: Kuukaudet/Months,,,Kappale 3: Eläimet/Animals,,,"Kappale 4: Sanasto Opiframe:lla/Vocabulary at Opiframe ",,,Kappale 5: Säästä energia ja kierrättää/Saving energy,,,Kappale 6: adjektiivit ja antonyymit/adjectives and opposites,,,Kappale 7: Hedelmät ja vihannekset/Fruits and vegetables,,
toisinaan,"sometimes,at times",,tammikuu,January,Tammikuussa on kylmä,hanhi,goose,,"paikallinen",local,,ympäristösuojelu,environmental protection,Olen kiinnostunut ympäristönsuojelusta,rohkea - pelokas,brave - scared,pelokas hiiri,ananas,pineapple,
uneton,sleepless,,helmikuu,February,,harakka,magpie,,"virallinen",official,,"ympäristöystävällinen ",environment friendly,Yritätkö elää ympäristöystävällisesti?,entinen - nykyinen,previous - current,,appelsiini,orange,
vanhempainvapaa,parental leave,,maaliskuu,March,,haukka,hawk,,"muodollinen",formal,,lajitella jäteet,sort out waste,,ensimmäinen - viimeinen,first - last,,aprikoosi,apricot,
koti-isä,stay at home dad,En oo koti-isä,huhtikuu,April,,joutsen,swan,,"muuttuja",variable,In the context of programming,kuluttaja,consumer,Hän kirjoitti Kuluttaja-lehden energiaveojalle,erilainen - samanlainen,different - similar,,greippi,grapefruit,pamplemousse
sittenkin,after all,,toukokuu,May,,korppi,raven,,"vakituinen",permanent,,jatkuvasti,"continuously,continually",Sähkölaskumme kasvaa jatkuvasti,laaja - suppea,"wide, broad - limited, narrow",,kiivi,kiwi,
iltameno,evening activity,,kesäkuu,June,,kotka,eagle,,"jengi",gang,,koskea+P,apply to,Sama koskee myös kotinne elektroniikkalaitteita,tuttu - vieras,familiar - unfamiliar,,kookospähkinä,coconut,
alakoulu,elementary school,,heinäkuu,July,,kyyhky,dove,,"viilentää",cool down,,laskea,lower,"Jos laskisitte huonelämpötilaa pari astetta, säästäisitte rahaa",edellinen - seuraava,previous - next,,luumu,plum,prune
yläkoulu,middle school,,elokuu,August,,lokki,gull,,"turvaton,vaarallinen",unsafe,,lämpötila,temperature,"Jos laskisitte huonelämpötilaa pari astetta, säästäisitte rahaa",julkinen - yksityinen,public - private,,omena,apple,
perustaa,"establish,form",,syyskuu,September,,pingviini,penguin,,"vuotava nenä",runny nose,,pudotus,fall,Yhden asteen pudotus huonelämmössä pienentää sähkölaskua 5%,tiukka - löysä,tight - loose,,persikka,peach,
G + tuntumassa,near,,lokakuu,October,,pöllö,owl,,"vuotaa",leak,,pakastin,freezer,Vanha pakastin kuluttaa huomattavasti enemmän energiaa kuin uudet.,kansallinen - kansainvälinen,national - international,,päärynä,pear,
ulkoilu,outdoor recreation,,marraskuu,November,,"ankka,sorsa",duck,,"nuha","cold,sniffle",,huomattavasti,"considerably,notably,remarkably,significantly",Vanha pakastin kuluttaa huomattavasti enemmän energiaa kuin uudet.,hieno - karkea,fine - coarse,,sitruuna,lemon,
maasto,"ground,terrain",,joulukuu,December,,riikinkukko,peacock,,"flunssa",cold,,kylpyamme,bathtub,Vähentäisitte kylpeammeessa kylpemistä ja kävisitte sen sijaan useammin suihkussa,varhainen - myöhäinen,early - late,,taateli,date,
G + päässä,within distance,,,,,strutsi,ostrich,,"luovuttaa",give up,,sen sijaan,instead,Vähentäisitte kylpeammeessa kylpemistä ja kävisitte sen sijaan useammin suihkussa,turha - hyödyllinen,useless - useful,,vesimeloni,watermelon,
vastikään,"recently,just,newly",,,,,tikka,woodpecker,,"vastustaja",opponent,,käynnistää,"start,turn on",Kannattaa myös käynnistää astianpesukone ja pesukone vasta kun ne ovat täynnä,myönteinen - kielteinen,positive - negative,,viinirypäle,grape,
sukuloida,visit relatives,,,,,varis,crow,,"puolustaa",defend,,lämmityskulut,heating costs,"Talvella on hyvä sulkea ikkunaverhot, sillä sekin säästää lämmityskuluja",valmis - keskeneräinen,"ready - unfinished, incomplete",,bataati,sweet potato,
kiertää,"tour,circle,go round",,,,,varpunen,sparrow,moineau,"hukata","lose, waste",,"tiivis ","sealed,watertight","Tarkista, että ikkunanne ovat tiivit - erityisesti, jos asutte vanhassa talossa",suora - mutkikas,"straight - winding, complex",,herne,pea,
kypsä,"fed up,ripe",,,,,hyönteinen,insect,,"hukattua aikaa",time wasted,,soluasunto,shared flat,,fyysinen - henkinen,physical - mental,,kurkku,cucumber,
kyllästynyt,"fed up,annoyed",,,,,ötökkä,bug,,"tuhlata",waste,,"G + lisäksi ","in addition to, on top of",,harvinainen - yleinen,rare - common,,kurpitsa,pumpkin,
ennimäkseen,mostly,,,,,kärpänen,fly,,"varoitus",warning,,ihmetellä,wonder,,vaarallinen - turvallinen,dangerous - safe,,papu,bean,
naapurusto,"neighborhood,neighbourhood",,,,,perhonen,butterfly,,"yläkerrassa",upstairs,,"jäteastia,roskalaatikko,roskis","trash bin,bin",,pohjoinen - eteläinen,northern - southern,,parsakaali,broccoli,
hiekkalaatikko,sandbox,,,,,ampiainen,wasp,,"alakerrassa",downstairs,,banaanikuoret,banana skin,,positiivinen - negatiivinen,positive - negative,,peruna,potato,
työpaikkailmoitus,job announcement,,,,,mehiläinen,bee,,"alhaalla","below,down there",Alhaalla on biljaardi,päätyä + mihin,end up,"Jos kävelet 5 kilometriä tuohon suuntaan, päädyt järveen",monipuolinen - yksipuolinen,versatile - one-sided,,pinaatti,spinach,
